,datass_csv
0,"If our reputation is harmed, we could suffer losses in our business, revenues and net income. "
0,"Our business depends on earning and maintaining the trust and confidence of clients, regulators and other market participants, and our good reputation is critical to our business. Our reputation is vulnerable to many threats that can be difficult or impossible to control, and costly or impossible to remediate. Regulatory inquiries, investigations or findings of wrongdoing, material errors in public reports, intentional or unintentional misrepresentation of our products and services in advertising materials, public relations information, social media or other external communications, operational failures (including cyber breaches), employee dishonesty or other misconduct and rumors, among other things, can substantially damage our reputation, even if they are baseless or eventually satisfactorily addressed. "
0,"Our business also requires us continuously to manage actual and potential conflicts of interest, including situations where our services to a particular client conflict, or are perceived to conflict, with the interests of another client or those of Invesco. The willingness of clients to enter into transactions in which such a conflict might arise may be affected if we fail - or appear to fail - "
0,"to deal appropriately with conflicts of interest. In addition, potential or perceived conflicts could give rise to litigation or regulatory enforcement actions. "
0,"We have procedures and controls that are designed to address and manage these risks, but this task can be complex and difficult, and if our procedures and controls fail, our reputation could be damaged. Any damage to our reputation could impede our ability to attract and retain clients and key personnel, and lead to a reduction in the amount of our AUM, any of which could have a material adverse effect on our results of operations, financial condition or liquidity. "
0,"Failure to establish adequate controls and risk management policies, the circumvention of controls and policies, or fraud could have an adverse effect on our reputation and financial position. "
0,"We have established a comprehensive risk management process and continue to enhance various controls, procedures, policies and systems to monitor and manage risks to our business; however, we cannot be assured that such controls, procedures, policies and systems will successfully identify and manage internal and external risks to our business. We are subject to the risk that our employees, contractors or other third parties may deliberately seek to circumvent established controls to commit fraud (including through cyber breaches) or act in ways that are inconsistent with our controls, policies and procedures. Persistent or repeated attempts involving conflicts of interests, circumvention of policies and controls or fraud could have a materially adverse impact on our reputation and could lead to costly regulatory inquiries. "
0,"Many of the investment management agreements under which we manage assets or provide products or services specify investment guidelines or requirements that Invesco is required to observe in the provision of its services. Laws and regulations impose similar requirements for certain accounts. A failure to comply with these guidelines or requirements could result in damage to our reputation or in our clients seeking to recover losses, withdrawing their assets or terminating their contracts, any of which could cause our revenues and profitability to decline. We maintain various compliance procedures and other controls to prevent, detect and correct such errors. When an error is detected, a payment will typically made into the applicable client account to correct it. Significant errors for which we are responsible could impact our results of operations, financial condition or liquidity. "
0,"The investment management business is highly competitive, and we compete based on a variety of factors, including investment performance, the range of products offered, brand recognition, business reputation, financial strength, stability and continuity of client and financial intermediary relationships, quality of service, level of fees charged for services and the level of compensation paid and distribution support offered to financial intermediaries. We continue to face market pressures regarding fee levels in certain products. "
0,"We face strong competition in every market in which we operate. Our competitors include a large number of investment management firms, commercial banks, investment banks, broker-dealers, hedge funds, insurance companies and other financial institutions. Some of these institutions have greater capital and other resources, and offer more comprehensive lines of products and services, than we do. Our competitors seek to expand their market share in many of the products and services we offer. If these competitors are successful, our revenues and profitability could be adversely affected. In addition, there are relatively few barriers to entry by new investment management firms, and the successful efforts of new entrants into our various distribution channels around the world have also resulted in increased competition. "
0,"In recent years there have been several instances of industry consolidation, both in the area of distributors and manufacturers of investment products. Further consolidation may occur in these areas in the future. The increasing size and market influence of certain distributors of our products and of certain direct competitors may have a negative impact on our ability to compete at the same levels of profitability in the future, should we find ourselves unable to maintain relevance in the markets in which we compete. "
0,"In the current low-interest rate environment, alongside the implementation of significant global quantitative easing policies and volatility in equity markets, investors are increasingly attracted to lower fee passive products, which have gained and may continue to gain share at the expense of active products. "
0,We may be unable to develop new products and services and the development of new products and services may expose us to additional costs or operational risk. 
0,"Our financial performance depends, in part, on the company's ability to develop, market and manage new investment products and services. The development and introduction of new products and services requires continued innovative efforts on our part and may require significant time and resources as well as ongoing support and investment. Substantial risk and uncertainties are associated with the introduction of new products and services, including the implementation of new and appropriate operational controls and procedures, shifting client and market preferences, the introduction of competing products or services and compliance with regulatory requirements. A failure to continue to innovate to introduce new products and services or to manage successfully the risks associated with such products and services may impact our market share relevance and may cause our AUM, revenue and earnings to decline. "
0,We may engage in strategic transactions that could create risks. 
0,"We regularly review, and from time-to-time have discussions with and engage in, potential strategic transactions, including potential acquisitions, dispositions, consolidations, joint ventures or similar transactions, some of which may be material. There can be no assurance that we will find suitable candidates for strategic transactions at acceptable prices, have sufficient capital resources to pursue such transactions, be successful in negotiating the required agreements, or successfully close transactions after signing such agreements. "
0,"Acquisitions also pose the risk that any business we acquire may lose customers or employees or could underperform relative to expectations. We could also experience financial or other setbacks if pending transactions encounter unanticipated problems, including problems related to closing or integration. Following the completion of an acquisition, we may have to rely on the seller to provide administrative and other support, including financial reporting and internal controls, to the acquired business for a period of time. There can be no assurance that such sellers will do so in a manner that is acceptable to us. "
0,Our ability to maintain our credit ratings and to access the capital markets in a timely manner should we seek to do so depends on a number of factors. 
0,"A reduction in our long-term credit ratings could increase our borrowing costs, could limit our access to the capital markets, and may result in outflows thereby reducing AUM and revenues. Volatility in global finance markets may also affect our ability to access the capital markets should we seek to do so. If we are unable to access capital markets in a timely manner, our business could be adversely affected. "
0,Our indebtedness could adversely affect our financial position or results of operations. 
0,"As of December 31, 2015 , we had outstanding total debt of $2,072.8 million , excluding debt of CIP, and total equity attributable to Invesco Ltd. of $7,885.3 million . The amount of indebtedness we carry could limit our ability to obtain additional financing for working capital, capital expenditures, acquisitions, debt service requirements or other purposes, increase our vulnerability to adverse economic and industry conditions, limit our flexibility in planning for, or reacting to, changes in our business or industry, and place us at a disadvantage in relation to our competitors. Any or all of the above factors could materially adversely affect our financial position or results of operations."
0,"Our credit facility requires us to maintain specified financial ratios, including maximum debt-to-earnings and minimum interest coverage ratios. This credit facility also contains customary affirmative operating covenants and negative covenants that, among other things, restrict certain of our subsidiaries' ability to incur debt and restrict our ability to transfer assets, merge, make loans and other investments and create liens. The breach of any covenant (either due to our actions or due to a significant and prolonged market-driven decline in our operating results) would result in a default under the credit facility. In the event of any such default, lenders that are party to the credit facility could refuse to make further extensions of credit to us and require all amounts borrowed under the credit facility, together with accrued interest and other fees, to be immediately due and payable. If any indebtedness under the credit facility were subject to accelerated repayment, we might not have sufficient liquid assets to repay such indebtedness in full. "
0,"We sell substantially all of our retail investment products through a variety of third party financial intermediaries, including major wire houses, fund supermarkets, regional broker-dealers, insurance companies, banks and financial planners in North America, and independent brokers and financial advisors, banks and supermarket platforms in Europe and Asia. No single one of these intermediaries is material to our business. Increasing competition for these distribution channels could nevertheless cause our distribution costs to rise, which would lower our net revenues. Following the financial crisis, there has been consolidation of banks and broker-dealers, particularly in the U.S., and a limited amount of migration of brokers and financial advisors away from major banks to independent firms focused largely on providing advice. If these changes continue, our distribution costs could increase as a percentage of our revenues generated. Additionally, particularly outside of the U.S., certain of the third party intermediaries upon whom we rely to distribute our investment products also sell their own competing proprietary funds and investment products, which could limit the distribution of our products. Increasingly, investors, particularly in the institutional market, rely on external consultants and other third parties for advice on the choice of investment manager. These consultants and third parties tend to exert a significant degree of influence over their clients' choices, and they may favor a competitor of Invesco as better meeting their particular clients' needs. There is no assurance that our investment products will be among their recommended choices in the future. If a material portion of our distributors were to cease operations, it could have a significant adverse effect on our revenues and profitability. Any failure to maintain strong business relationships with these distribution sources and the consultant community would impair our ability to sell our products, which in turn could have a negative effect on our revenues and profitability. "
0,"In addition to investment management, our services include fund administration, sales, distribution, marketing, shareholder servicing, and trust, custody and other fiduciary services. In order to be competitive and comply with our agreements, we must properly perform our fund and portfolio administration and related responsibilities, including portfolio recordkeeping and accounting, security pricing, corporate actions, investment restrictions compliance, daily net asset value computations, account reconciliations, and required distributions to fund shareholders. The ability to consistently and reliably obtain accurate securities pricing information, process client portfolio and fund shareholder transactions and provide reports and other customer service to fund shareholders and clients in accounts managed by us is essential to our continuing success. Certain types of securities may experience liquidity constraints that would require increased use of fair value pricing, which is dependent on certain subjective judgments that have the potential to be challenged. Any delays or inaccuracies in obtaining pricing information, processing such transactions or such reports, other breaches and errors, and any inadequacies in other customer service, could result in reimbursement obligations or other liabilities, or alienate customers and potentially give rise to claims against us. Our customer service capability, as well as our ability to obtain prompt and accurate securities pricing information and to process transactions and reports, is highly dependent on communications and information systems and on third-party service providers. Certain of these processes involve a degree of manual input, and thus problems could occur from time-to-time due to human error. Our failure to properly perform and monitor our operations or our otherwise suffering deficiencies and failures in these systems or service functions could result in material financial loss or costs, regulatory actions, breach of client contracts, reputational harm or legal claims and liability, which in turn could have a negative effect on our revenues and profitability. "
0,"The failure of one of our third party service providers or other key vendors to fulfill its obligations could have a material adverse effect on our reputation or business, which may cause our AUM, revenue and earnings to decline. "
0,"We depend on third party service providers and other key vendors for various fund administration, accounting, custody, risk analytics, market data, market indices and transfer agent roles, and other distribution and operational needs. If our third party "
0,"service providers or other key vendors fail to fulfill their obligations to us, it could lead to operational and regulatory problems, including with respect to certain of our products, which could result in losses, enforcement actions, or reputational harm and may cause our AUM, revenue and earnings to decline. "
0,"We depend on information technology, and any failures of or damage to, attack on or unauthorized access to our information technology systems or facilities, or those of third parties with which we do business, including as a result of cyber-attacks, could result in significant limits on our ability to conduct our operations and activities, costs and reputational damage. "
0,"We are highly dependent upon the use of various proprietary and third-party information and security technology, software applications and other technology systems to operate our business. We are also dependent on the effectiveness of our information and cyber security infrastructure, policies, procedures and capabilities to protect our computer and telecommunications systems and the data that reside on or are transmitted through them. We use our technology to, among other things, manage and trade portfolio investments, support our other operations, obtain securities pricing information, process client transactions, and provide reports and other customer services to the clients of the funds we manage. Any inaccuracies, delays, systems failures or security breaches in these and other processes could disrupt our business operations, subject us to client dissatisfaction and losses and/or subject us to reputational harm. "
0,"Our computer, communications, data processing, networks, backup, business continuity or other operating, information or technology systems and facilities, including those that we outsource to other providers, may fail to operate properly or become disabled, overloaded or damaged as a result of a number of factors, including events that are wholly or partially beyond our control. Although we take protective measures, including measures to effectively secure information through system security technology, our technology systems may still be vulnerable to unauthorized access, computer viruses or other events that have a security impact, such as an external hacker attack by one or more cyber criminals or an authorized employee or vendor causing us to release confidential information inadvertently or through malfeasance, or lose temporarily or permanently data or applications or systems, which could materially harm our operations and reputation. The third parties with which we do business or which facilitate our business activities, including financial intermediaries and technology infrastructure and service providers, are also susceptible to the foregoing risks (including regarding the third parties with which they are similarly interconnected or on which they otherwise rely), and our or their business operations and activities may therefore be adversely affected, perhaps materially, by failures, terminations, errors or malfeasance by, or attacks or constraints on, one or more financial, technology or infrastructure institutions or intermediaries with whom we or they are interconnected or conduct business. "
0,"Breach of our technology systems could damage our reputation and could result in the unauthorized disclosure or modification or loss of sensitive or confidential information (including client data); unauthorized disclosure modification or loss of proprietary information relating to our business; inability to process client or company transactions and processes; breach and termination of client contracts; liability for stolen assets, information or identity; remediation costs to repair damage caused by the breach, including damage to systems and recovery of lost data; additional security costs to mitigate against future incidents; regulatory actions, and litigation costs resulting from the incident. Such consequences could result in material financial loss and have a negative effect on our revenues and profitability. "
0,"If we were to experience a local or regional disaster or other business continuity problem, such as a pandemic or other natural or man-made disaster, our continued success will depend, in part, on the availability of our personnel, our office facilities and the proper functioning of our computer, telecommunication and other related systems and operations. In such an event, we believe our operational size, the multiple locations from which we operate, and our existing back-up systems should mitigate adverse impacts. Nevertheless, we could still experience near-term operational problems with regard to particular areas of our operations, such as key executive officers or technology personnel. Further, as we strive to achieve cost savings by shifting certain business processes to lower-cost geographic locations such as India, the potential for particular types of natural or man-made disasters, political, economic or infrastructure instabilities, or other country- or region-specific business continuity risks increases. Although we seek to assess regularly and improve our existing business continuity plans, a major disaster, or one that affected certain important operating areas, or our inability to recover successfully should we experience a disaster or other business continuity problem, could materially interrupt our business operations and cause material financial loss, loss of human capital, regulatory actions, reputational harm or legal liability. "
0,"The largest component of our net assets, revenues and expenses, as well as our AUM, is presently denominated in U.S. dollars. However, we have a large number of subsidiaries outside of the United States whose functional currencies are not the U.S. dollar. As a result, fluctuations in the exchange rates to the U.S. dollar affect our reported financial results from one period to the next. Consequently, significant strengthening of the U.S. dollar relative to the U.K. Pound Sterling, Euro, or Canadian dollar, among other currencies, could have a material negative impact on our reported financial results. "
0,"The carrying value of goodwill and other intangible assets on our balance sheet could become impaired, which would adversely affect our results of operations. "
0,"Legislative and other measures that may be taken by U.S. and/or other governmental authorities could materially increase our tax burden or otherwise adversely affect our financial conditions, results of operations or cash flows. "
0,"Under current laws, as the company is domiciled and tax resident in Bermuda, taxation in other jurisdictions is dependent upon the types and the extent of the activities of the company undertaken in those jurisdictions. There is a risk that changes in either the types of activities undertaken by the company or changes in tax rules relating to tax residency could subject the company and its shareholders to additional taxation. "
0,"We continue to assess the impact of various U.S. federal and state legislative proposals, and modifications to existing tax treaties between the United States and foreign countries, that could result in a material increase in our U.S. federal and state taxes. From time-to-time, proposals are introduced in the U.S. Congress that, if ultimately enacted, could either limit treaty benefits on certain payments made by our U.S. subsidiaries to non-U.S. affiliates, treat the company as a U.S. corporation and thereby subject the earnings from non-U.S. subsidiaries of the company to U.S. taxation, or both. More recently, there have been numerous proposals for fundamental U.S. corporate tax reform. "
0,"On October 5, 2015, the Organization for Economic Co-operation and Development (OECD) released its final reports related to its action plan for multilateral cooperation to address tax base erosion and profit shifting (BEPS) concerns. The second phase of the BEPS project covers clarifications, implementation, and monitoring. Countries have already begun to implement some of the action items and will continue to adopt more of them over the next several years. As with any global implementation process there are concerns about potential lack of consistency in the local application of these items. Some of the recommendations are complex while others contain optional routes, thereby increasing the likelihood of only partial or limited implementation. Countries may also decide to implement their own approaches unilaterally, independent of the BEPS recommendations. This could lead to increased uncertainty with tax positions as well as increase the potential for double taxation."
0,"We cannot predict the outcome of any specific legislative proposals. However, if such proposals were to be enacted, or if modifications were to be made to certain existing tax treaties, the consequences could have a materially adverse impact on the company, including increasing our tax burden, increasing costs of our tax compliance or otherwise adversely affecting our future results of operations, financial condition or liquidity. "
0,"The company and its subsidiaries are subject to income taxes as well as non-income based taxes, in both the United States and various foreign jurisdictions and are subject to ongoing tax audits in various jurisdictions. The calculation of our tax liabilities involves dealing with uncertainties in the application of complex tax regulations in a multitude of jurisdictions across our global operations. Tax authorities may disagree with certain positions we have taken and assess additional taxes (and, in certain cases, interest, fines or penalties). We recognize potential liabilities and record tax liabilities for anticipated tax audit issues based on our estimate of whether, and the extent to which, additional income taxes will be due. We adjust these liabilities in light of changing facts and circumstances. Due to the complexity of some of these uncertainties, however, the ultimate resolution may result in a payment that is materially different from our current estimate of the tax liabilities. "
0,"Our shareholders may have more difficulty protecting their interests than shareholders of a company incorporated in a jurisdiction of the United States. As a Bermuda company, we are governed by the Companies Act 1981 of Bermuda (Companies Act). The Companies Act differs in some material respects from laws generally applicable to United States corporations and shareholders, including provisions relating to interested directors, mergers, amalgamations and acquisitions, takeovers, shareholder lawsuits and indemnification of directors."
0,"Under Bermuda law, the duties of directors and officers of a company are generally owed to the company only. Shareholders of Bermuda companies do not generally have rights to take action against directors or officers of the company, and may only do so in limited circumstances described in the following paragraph. However, directors and officers may owe duties to a company's creditors in cases of impending insolvency. Directors and officers of a Bermuda company must, in exercising their powers and performing their duties, act honestly and in good faith with a view to the best interests of the company and must exercise the care and skill that a reasonably prudent person would exercise in comparable circumstances. Directors have a duty not to put themselves in a position in which their duties to the company and their personal interests may conflict and also are under a duty to disclose any personal interest in any material contract or proposed material contract with the company or any of its subsidiaries. If a director or officer of a Bermuda company is found to have breached his duties to that company, he may be held personally liable to the company in respect of that breach of duty. "
0,"Class actions and derivative actions are generally not available to shareholders under the laws of Bermuda. However, the Bermuda courts ordinarily would be expected to follow English case law precedent, which would permit a shareholder to commence an action in a company's name against the directors and officers to remedy a wrong done to the company where the act complained of is alleged to be beyond the company's corporate power or is illegal or would result in the violation of the company's memorandum of association or Bye-Laws. Furthermore, consideration would be given by the court to acts that are alleged to constitute a fraud against the minority shareholders or where an act requires the approval of a greater percentage of shareholders than actually approved it. Under our Bye-Laws, each of our shareholders agrees to waive any claim or right of action, both individually and on our behalf, other than those involving fraud or dishonesty, against the company or any of our officers, directors or employees. The waiver applies to any action taken by a director, officer or employee, or the failure of such person to take any action, in the performance of his or her duties, except with respect to any matter involving any fraud or dishonesty on the part of the director, officer or employee. This waiver limits the right of shareholders to assert claims against our directors, officers and employees unless the act or failure to act involves fraud or dishonesty. "
0,"Our Bye-Laws also provide for indemnification of our directors and officers in respect of any loss arising or liability attaching to them in respect of any negligence, default, breach of duty or breach of trust of which a director or officer may be guilty in relation to the company other than in respect of his or her own fraud or dishonesty, which is the maximum extent of indemnification permitted under the Companies Act. "
0,"Because we are incorporated in Bermuda, it may be difficult for shareholders to serve process or enforce judgments against us or our directors and officers. "
0,"The company is organized under the laws of Bermuda. In addition, certain of our officers and directors reside in countries outside the United States. A substantial portion of the company's assets and the assets of these officers and directors are or may be located outside the United States. Investors may have difficulty effecting service of process within the United States on our directors and officers who reside outside the United States or recovering against the company or these directors and officers on judgments of U.S. courts based on civil liabilities provisions of the U.S. federal securities laws, even though the company has appointed an agent in the United States to receive service of process. "
0,"Further, it may not be possible, in Bermuda or in countries other than the United States where the company has assets, to enforce court judgments obtained in the United States against the company based on the civil liability provisions of U.S. federal or state securities laws. In addition, there is some doubt as to whether the courts of Bermuda and other countries would recognize or enforce judgments of U.S. courts obtained against the company or our directors or officers based on the civil liability provisions of the U.S. federal or state securities laws or would hear actions against the company or those persons based on those laws. We have been advised by our legal advisors in Bermuda that the United States and Bermuda do not currently have a treaty providing for the reciprocal recognition and enforcement of judgments in civil and commercial matters. Some remedies available under the laws of the United States or the states therein, including some remedies available under the U.S. federal securities laws, may not be allowed in Bermuda courts because they may be found to be contrary to Bermuda public policy. Therefore, a final judgment for the payment of money rendered by any federal or state court in the United States based on civil liability, whether or not based solely on U.S. federal or state securities laws, would not automatically be enforceable in Bermuda. Similarly, those judgments may not be enforceable in other countries other than the United States. "
0,We have anti-takeover provisions in our Bye-Laws that may discourage a change of control. 
0,"Our Bye-Laws contain provisions that could make it more difficult for a third-party to acquire us or to obtain majority representation on our board of directors without the consent of our board. As a result, shareholders may be limited in their ability to obtain a premium for their shares under such circumstances. "
0,"Specifically, our Bye-Laws contain the following provisions that may impede or delay an unsolicited takeover of the company: "
0,"we are prohibited from engaging, under certain circumstances, in a business combination (as defined in our Bye-Laws) with any interested shareholder (as defined in our Bye-Laws) for three years following the date that the shareholder became an interested shareholder; "
0,"our board of directors, without further shareholder action, is permitted by our Bye-Laws to issue preference shares, in one or more series, and determine by resolution any designations, preferences, qualifications, privileges, limitations, restrictions, or special or relative rights of an additional series. The rights of preferred shareholders may supersede the rights of common shareholders; "
0,"our board of directors is classified into three classes with the election years of the members of each class staggered such that the members of only one of the three classes are elected each year. (In May 2014, our shareholders have approved a phased-in declassification of our board of directors, which will be complete by the 2017 Annual General Meeting of Shareholders.);"
0,our board of directors is authorized to expand its size and fill vacancies; and 
0,shareholders cannot act by written consent unless the consent is unanimous. 
0,"We are subject to intense competition in all aspects of our business, which could negatively affect our ability to maintain or increase our profitability. "
0,The markets in which we operate across all facets of our business are both highly competitive and global. These markets are changing as a result of new and evolving laws and regulations applicable to financial services institutions. Regulatory-driven 
0,"Some of our competitors, including our competitors in core services, have substantially greater capital resources than we do, are not subject to as stringent capital or other regulatory requirements as we are, or may not be as constrained as we are by these requirements due to the relative size of our balance sheet. In some of our businesses, we are service providers to significant competitors. These competitors are in some instances significant clients, and the retention of these clients involves additional risks, such as the avoidance of actual or perceived conflicts of interest and the maintenance of high levels of service quality and intra-company confidentiality. Our relationships with other businesses, including competitors, necessarily involve the sharing of confidential information, and we cannot be certain, notwithstanding the existence of confidentiality obligations on the part of those other businesses, that our information will not be used to the competitive advantage of others. The ability of a competitor to offer comparable or improved products or services at a lower price would likely negatively affect our ability to maintain or increase our profitability. Many of our core services are subject to contracts that have relatively short terms or may be terminated by our "
0,"client after a short notice period. In addition, pricing pressures as a result of the activities of competitors, client pricing reviews, and rebids, as well as the introduction of new products, may result in a reduction in the prices we can charge for our products and services. "
0,"We are subject to variability in our assets under custody and/or administration and assets under management, and in our financial results, due to the significant size of our relationship with many of our institutional clients, and are also subject to significant pricing pressure due to trends in the market for custodial services and the considerable market influence exerted by those clients. "
0,"clients also, by their nature, are often able to exert considerable market influence, and this, combined with strong competitive forces in the markets for our services, has resulted in, and may continue to result in, significant pressure to reduce the fees we charge for our services in both our asset servicing and asset management lines of business. Our strategy of focusing our efforts on the segments of the market for investor services represented by very large asset managers and asset owners causes us to be particularly impacted by this industry trend. Many of these large clients are also under competitive and regulatory pressures that are driving them to manage the expenses that they and their investment products incur more aggressively, which in turn exacerbates their pressures on our fees. "
0,"Development and completion of new products and services, including State Street Alpha or State Street Digital, may impose costs on us, involve dependencies on third parties and may expose us to increased operational and model risk. "
0,"to bring new products and services to market in a timely manner at competitive prices, sharing of benefits in those relationships, conflicts with existing business partners and clients, protection of intellectual property and other confidential information, the competition for employees with the necessary expertise and experience and sales and other materials that fully and accurately describe the product or service and its underlying risks and are compliant with applicable regulations. New products or services may fail to operate or perform as expected and may not be suitable for the intended client or may not produce anticipated efficiencies, savings or benefits for either the client or us. Our failure to manage these risks and uncertainties also exposes us to enhanced risk of operational lapses, which may result in the recognition of financial statement liabilities. Regulatory and internal control requirements, capital requirements, competitive alternatives, vendor relationships and shifting market preferences may also determine if such initiatives can be brought to market in a manner that is timely and attractive to our clients. Failure to successfully manage all of the above risks in the development and implementation of new products or services, including continued development of State Street Alpha and State Street Digital, could have a material adverse effect on our business and reputation, consolidated results of operations or financial condition. "
0,Our business may be negatively affected by our failure to update and maintain our technology infrastructure. 
0,"In order to maintain and grow our business, we must make strategic decisions about our current and future business plans and effectively execute upon those plans. Strategic initiatives that we are currently developing or executing against include cost initiatives, enhancements and efficiencies to our operational processes, improvements to existing and new service offerings, targeting for sales growth certain segments of the markets for investor services and asset management, and enhancements to existing and development of new information technology and other systems. Implementing strategic programs and creating cost efficiencies involves certain strategic, technological and operational risks. Many features of our present initiatives include investment in systems integration and new technologies and also the development of new, and the evolution of existing, methods and tools to accelerate the pace of innovation, the introduction of new services and enhancements to the resiliency of our systems and operations. These initiatives also may result in increased or unanticipated costs or earnings volatility, may take longer than anticipated to implement and may result in increases in operating losses, inadvertent data disclosures or other operating errors. We may not have sufficient "
0,"resources to complete all of the systems development or projects that might enhance our product capabilities, resiliency of our operations or cost initiatives and, consequently, management makes judgments as to the priority to give to competing initiatives. In implementing these programs, we have material dependencies on third parties with contractual limits on their responsibilities to us. The transition to new operating processes and technology infrastructure may also cause disruptions in our relationships with clients and employees or loss of institutional understanding and may present other unanticipated technical or operational hurdles. In addition, the relocation to or expansion of servicing activities and other operations in different geographic regions or vendors may entail client, regulatory and other third party data use, storage and security challenges, as well as other regulatory compliance, business continuity and other considerations. As a result, we may not achieve some or all of the anticipated cost savings or other benefits and may experience unanticipated challenges from clients, regulators or other parties or reputational harm. In addition, some systems development initiatives may not have access to significant resources or management attention and, consequently, may be delayed or unsuccessful. Many of our systems require enhancements to meet the requirements of evolving regulation, to enhance security and resiliency and decommission obsolete technologies, to permit us to optimize our use of capital or to reduce the risk of operating error. In addition, the implementation of State Street Alpha and State Street Digital requires substantial systems development and expense. We may not have the resources to pursue all of these objectives simultaneously. "
0,"Acquisitions, strategic alliances, joint ventures and divestitures pose risks for our business. "
0,"We acquire complementary businesses and technologies, enter into strategic alliances and joint ventures and divest portions of our business. We undertake transactions of varying sizes to, among other reasons, gain advantages of scale, expand our geographic footprint, access new clients, distribution channels, technologies or services, expand or enhance our product offerings, develop closer or more collaborative relationships with our business partners, efficiently deploy capital or leverage cost savings or other business or financial opportunities. We may not achieve the expected benefits of these transactions, which could result in increased costs, lowered revenues, ineffective deployment of capital, regulatory concerns, exit costs or diminished competitive position or reputation. "
0,"Transactions of this nature also involve a number of risks and financial, accounting, tax, regulatory, strategic, managerial, operational, cultural and employment challenges, which could adversely "
0,"affect our consolidated results of operations and financial condition. For example, the businesses that we acquire or our strategic alliances or joint ventures may under-perform relative to the price paid or the resources committed by us; we may not achieve anticipated revenue growth or cost savings; or we may otherwise be adversely affected by acquisition-related charges. The intellectual property of an acquired business may be an important component of the value that we agree to pay for it. However, such acquisitions are subject to the risks that the acquired business may not own the intellectual property that we believe we are acquiring, that the intellectual property is dependent on licenses from third parties, that the acquired business infringes on the intellectual property rights of others, that the technology does not have the acceptance in the marketplace that we anticipated or that the technology requires significant investment to remain competitive. Similarly, such acquisitions present risks to our ability to retain the acquired talent, which may be essential to achieve our objectives in the acquisition. The integration of an acquired business' information technology infrastructure into ours has in the past and may in the future also expose us to additional security and resiliency risks. Further, past acquisitions have resulted in the recognition of goodwill and other significant intangible assets in our consolidated statement of condition. For example, we recorded goodwill and intangible assets of approximately $2.46 billion associated with our acquisition of CRD in 2018. These assets are not eligible for inclusion in regulatory capital under applicable requirements. In addition, we may be required to record impairment in our consolidated statement of income in future periods if we determine that the value of these assets has declined."
0,"Through our acquisitions or joint ventures, we may also assume unknown or undisclosed business, operational, tax, regulatory and other liabilities, fail to properly assess known contingent liabilities or assume businesses with internal control deficiencies. While in most of our transactions we seek to mitigate these risks through, among other things, due diligence, indemnification provisions or insurance, these or other risk-mitigating provisions we put in place may not be sufficient to address these liabilities and contingencies and involve credit and execution risks associated with successfully seeking recourse from a third party, such as the seller or an insurance provider. Other major financial services firms have paid significant penalties to resolve government investigations into matters conducted in significant part by acquired entities. "
